time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/entropy_loss,rollout/ep_rew_mean,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/clip_range,train/explained_variance,rollout/ep_len_mean,train/n_updates,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
290304,393,737,567,0.00025,-0.7150698117911816,3.649400234222412,-0.03565021604299545,0.140625,0.002696027688216418,0.023468629,0.2,0.9918939471244812,132.92,2264,-0.014547799015417695,,
290816,393,738,568,0.00025,-0.7470904029905796,3.6411004066467285,-0.0678325891494751,0.1455078125,0.0035519761077011935,0.022637302,0.2,0.9784331321716309,134.96,2268,-0.018019422539509833,,
291328,393,739,569,0.00025,-0.8271892610937357,3.639500379562378,-0.05349576473236084,0.224609375,0.01819937459367793,0.038238615,0.2,0.9234477281570435,134.84,2272,-0.014978291874285787,,
291840,393,740,570,0.00025,-0.7464846298098564,3.6399002075195312,-0.020234042778611183,0.1708984375,0.008594569138949737,0.038797416,0.2,0.9654250741004944,135.68,2276,-0.011427493183873594,,
292352,393,742,571,0.00025,-0.7833540979772806,3.6478006839752197,-0.059262119233608246,0.171875,0.01166051026666537,0.046312027,0.2,0.9535115957260132,134.64,2280,-0.017647210275754333,,
292864,393,743,572,0.00025,-0.74950254522264,3.657900333404541,-0.07456542551517487,0.16162109375,0.0032395938906120136,0.024261344,0.2,0.9893800616264343,132.22,2284,-0.020495074219070375,,
293376,394,744,573,0.00025,-0.7793655227869749,3.6630001068115234,-0.04427780956029892,0.22412109375,0.005007574982300866,0.038460772,0.2,0.9788990616798401,130.58,2288,-0.018280869466252625,,
293888,394,745,574,0.00025,-0.8346897438168526,3.665600299835205,0.004659165628254414,0.1865234375,0.01859916842659004,0.032815915,0.2,0.8967902660369873,130.14,2292,-0.016027845907956362,,
294400,394,747,575,0.00025,-0.741789560765028,3.6682000160217285,-0.053995534777641296,0.16064453125,0.0037180694889684673,0.01728541,0.2,0.9890997409820557,129.12,2296,-0.01637808288796805,,
294912,394,748,576,0.00025,-0.8032865654677153,3.670499801635742,-0.03063289076089859,0.15576171875,0.0035608475300250575,0.028436165,0.2,0.985567569732666,128.88,2300,-0.02384619088843465,,
295424,394,749,577,0.00025,-0.833151200786233,3.6693999767303467,-0.017225848510861397,0.263671875,0.014230375265469775,0.053282417,0.2,0.9329128265380859,128.58,2304,-0.021331512893084437,,
295936,394,750,578,0.00025,-0.781161243095994,3.6837003231048584,-0.021542677655816078,0.18359375,0.004460181466129143,0.03643342,0.2,0.9880926609039307,125.86,2308,-0.01854315650416538,,
296448,394,752,579,0.00025,-0.8348160777240992,3.681600332260132,-0.08452306687831879,0.185546875,0.006212292217242066,0.034211986,0.2,0.9727084040641785,127.04,2312,-0.02548481908161193,,
296960,394,753,580,0.00025,-0.8318274188786745,3.6824002265930176,-0.0568266399204731,0.25439453125,0.010500188989681192,0.0636946,0.2,0.8932360410690308,127.76,2316,-0.02264765603467822,,
297472,394,754,581,0.00025,-0.8127681352198124,3.683500289916992,-0.058394476771354675,0.23876953125,0.009638257426558994,0.049412325,0.2,0.940621554851532,128.54,2320,-0.025627688562963158,,
297984,394,755,582,0.00025,-0.7913305889815092,3.6849002838134766,-0.06975989043712616,0.17236328125,0.008265662363555748,0.047716916,0.2,0.9517140984535217,128.52,2324,-0.023760643904097378,,
298496,394,757,583,0.00025,-0.7502857968211174,3.682499885559082,-0.050664663314819336,0.1767578125,0.005920605683058966,0.03742415,0.2,0.9702345728874207,128.4,2328,-0.017668738961219788,,
