time/fps,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,rollout/ep_rew_mean,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_range,train/approx_kl,train/loss,eval/mean_reward,eval/mean_ep_length
479,806,755,386560,129.98,0.012876414228230715,0.00025,-0.02631387283327058,0.17919921875,3.565500259399414,0.925197422504425,3016,-0.6826685462146997,0.2,0.03744359,-0.04146387055516243,,
479,807,756,387072,126.1,0.0035172563875676133,0.00025,-0.011211859789909795,0.14013671875,3.6194000244140625,0.9827772378921509,3020,-0.621318394318223,0.2,0.027385216,-0.024704795330762863,,
479,808,757,387584,126.32,0.002663643375854008,0.00025,-0.008896960702259094,0.12939453125,3.6259002685546875,0.9915397763252258,3024,-0.6200648546218872,0.2,0.026701204,-0.024858873337507248,,
479,809,758,388096,124.68,0.002824951650836738,0.00025,-0.0067654325102921575,0.12744140625,3.634200096130371,0.9856520891189575,3028,-0.6154893804341555,0.2,0.024468236,-0.03453100472688675,,
479,810,759,388608,122.38,0.005173560704861302,0.00025,-0.017329278169199824,0.14599609375,3.640000104904175,0.9746647477149963,3032,-0.641373747959733,0.2,0.042779073,-0.04132159799337387,,
479,811,760,389120,120.98,0.002518746488931356,0.00025,-0.011419874266721308,0.14892578125,3.646899938583374,0.9908950924873352,3036,-0.6009627841413021,0.2,0.04246679,-0.03955015540122986,,
479,812,761,389632,120.36,0.0027852412131323945,0.00025,-0.009226332884281874,0.126953125,3.650200128555298,0.9868496656417847,3040,-0.6018645279109478,0.2,0.027898211,-0.03777164965867996,,
479,813,762,390144,119.84,0.003875376049109036,0.00025,-0.014699953724630177,0.1171875,3.6466000080108643,0.9883257150650024,3044,-0.5930332858115435,0.2,0.018754924,-0.028492875397205353,,
479,814,763,390656,120.3,0.0021600685322482605,0.00025,-0.02330436755437404,0.173828125,3.6472997665405273,0.9908052682876587,3048,-0.6121847648173571,0.2,0.031848304,-0.0372483991086483,,
479,815,764,391168,120.54,0.004522366714809323,0.00025,-0.019268318777903914,0.1591796875,3.6526999473571777,0.9822996258735657,3052,-0.6261037643998861,0.2,0.03103329,-0.041388045996427536,,
479,816,765,391680,120.2,0.004735311013064347,0.00025,-0.012018832145258784,0.14892578125,3.6540002822875977,0.9781461954116821,3056,-0.6317883618175983,0.2,0.044432834,-0.033016007393598557,,
479,817,766,392192,119.02,0.003834568524325732,0.00025,-0.0013507123803719878,0.15869140625,3.6516001224517822,0.979938268661499,3060,-0.6326725911349058,0.2,0.033175305,-0.012283426709473133,,
479,818,767,392704,118.42,0.0024101676790451165,0.00025,-0.01616137335076928,0.17138671875,3.6520001888275146,0.9922191500663757,3064,-0.5998586770147085,0.2,0.05175648,0.007008620537817478,,
479,819,768,393216,116.96,0.0018512364040361717,0.00025,-0.013060792960459366,0.125,3.6531996726989746,0.994705080986023,3068,-0.598423833027482,0.2,0.04357157,-0.04208875447511673,,
479,820,769,393728,116.18,0.0011782923374994425,0.00025,-0.022562102181836963,0.158203125,3.655400037765503,0.9966239929199219,3072,-0.5887116119265556,0.2,0.034689292,-0.052982818335294724,,
479,821,770,394240,115.78,0.0031201376223179977,0.00025,-0.01788535830564797,0.1494140625,3.6567001342773438,0.9877912998199463,3076,-0.6087414547801018,0.2,0.032452986,-0.03774168714880943,,
479,822,771,394752,115.68,0.0027123513937112875,0.00025,-0.014547090802807361,0.162109375,3.659299373626709,0.9910565614700317,3080,-0.6072340123355389,0.2,0.032452263,-0.02808908186852932,,
479,823,772,395264,115.56,0.0018060947768390179,0.00025,-0.010757985262898728,0.11767578125,3.659600019454956,0.9933552742004395,3084,-0.5985219581052661,0.2,0.017491998,-0.016413673758506775,,
479,824,773,395776,114.62,0.0017358029690512922,0.00025,-0.013165971147827804,0.16455078125,3.6564996242523193,0.9933654069900513,3088,-0.6405737530440092,0.2,0.023535745,-0.025239016860723495,,
479,825,774,396288,114.24,0.0014503984239127021,0.00025,-0.011689070204738528,0.18017578125,3.6560006141662598,0.9959378838539124,3092,-0.6580385472625494,0.2,0.025738789,-0.03904224932193756,,
479,826,775,396800,113.78,0.002346468041650951,0.00025,-0.016259726136922836,0.20703125,3.6530001163482666,0.9931259751319885,3096,-0.6484800633043051,0.2,0.042198185,-0.025635939091444016,,
479,827,776,397312,113.82,0.001544565535368747,0.00025,-0.013131148414686322,0.138671875,3.658400058746338,0.9956609606742859,3100,-0.6891311854124069,0.2,0.021264806,-0.05010960251092911,,
479,828,777,397824,113.02,0.0016707874983694637,0.00025,-0.012530379608506337,0.1220703125,3.6613998413085938,0.9941135048866272,3104,-0.68821638263762,0.2,0.01563101,-0.03379761427640915,,
479,829,778,398336,113.04,0.0016615105978416977,0.00025,-0.011200500011909753,0.11669921875,3.663299798965454,0.9943647980690002,3108,-0.7167172413319349,0.2,0.018279592,-0.02182697504758835,,
479,830,779,398848,113.06,0.0023879546570242383,0.00025,-0.016806777159217745,0.14697265625,3.659299850463867,0.9951725006103516,3112,-0.7027786374092102,0.2,0.023456043,-0.030833439901471138,,
479,832,780,399360,112.6,0.004104800580535084,0.00025,-0.01733887376030907,0.1533203125,3.658599853515625,0.9746477603912354,3116,-0.715394614264369,0.2,0.055144764,-0.04817086085677147,,
480,833,781,399872,112.36,0.0015528746698691975,0.00025,-0.011539330531377345,0.12939453125,3.6564998626708984,0.993320882320404,3120,-0.7246403079479933,0.2,0.020865303,-0.005177302286028862,,
,,,400000,,0.0014872591182211181,0.00025,-0.016999441955704242,0.1162109375,,0.994883120059967,3124,-0.720045642927289,0.2,0.023176083,-0.023184029385447502,3.626000165939331,108.8
479,834,782,400384,111.96,,,,,3.651400089263916,,,,,,,,
479,835,783,400896,111.86,0.020718703635793645,0.00025,-0.006250914419069886,0.19091796875,3.650899887084961,0.9103084206581116,3128,-0.7420799117535353,0.2,0.028295571,0.008249374106526375,,
479,836,784,401408,111.82,0.0025265921467507724,0.00025,-0.020658283843658864,0.14404296875,3.651700019836426,0.9887580871582031,3132,-0.703308230265975,0.2,0.021564245,-0.03432425484061241,,
479,837,785,401920,111.18,0.0017472899780841544,0.00025,-0.005052751221228391,0.14306640625,3.6504998207092285,0.9937947392463684,3136,-0.7202463131397963,0.2,0.01863898,-0.028885599225759506,,
479,838,786,402432,110.72,0.0013543547574954573,0.00025,-0.017084149381844327,0.16552734375,3.6480002403259277,0.9965313673019409,3140,-0.7443954702466726,0.2,0.029461011,-0.05301937833428383,,
479,839,787,402944,110.54,0.0013539409865188645,0.00025,-0.009288079047109932,0.14306640625,3.649899959564209,0.996325671672821,3144,-0.7311389911919832,0.2,0.022734165,-0.016268199309706688,,
479,840,788,403456,110.64,0.0015101938697625883,0.00025,-0.01347156532574445,0.17578125,3.6524996757507324,0.9952902793884277,3148,-0.733879279345274,0.2,0.027054943,-0.035385701805353165,,
479,842,789,403968,110.42,0.0019836805513477884,0.00025,-0.008995012700324878,0.123046875,3.6511001586914062,0.990145206451416,3152,-0.7246798314154148,0.2,0.023440052,-0.012346207164227962,,
479,843,790,404480,110.56,0.0015168641930358717,0.00025,-0.020663396921008825,0.154296875,3.6528000831604004,0.9947757720947266,3156,-0.7001404166221619,0.2,0.027559426,-0.04528272524476051,,
479,844,791,404992,110.54,0.0023037583923724014,0.00025,-0.00907089706743136,0.126953125,3.6601998805999756,0.9907330274581909,3160,-0.7300113644450903,0.2,0.025507873,-0.01925300806760788,,
479,845,792,405504,110.38,0.0017961909616133198,0.00025,-0.00814265274675563,0.13330078125,3.658400058746338,0.994178295135498,3164,-0.7040223255753517,0.2,0.02406001,-0.04422047361731529,,
479,846,793,406016,110.32,0.0014561146417690907,0.00025,-0.006657558056758717,0.126953125,3.6595001220703125,0.9947502017021179,3168,-0.7341479733586311,0.2,0.022072662,-0.026679344475269318,,
479,847,794,406528,110.42,0.0015332584498537472,0.00025,-0.018324309610761702,0.15478515625,3.659299850463867,0.9952042102813721,3172,-0.7124086637049913,0.2,0.032220967,-0.014741522260010242,,
479,848,795,407040,111.28,0.0012842618925787974,0.00025,-0.02500601115752943,0.19140625,3.6576998233795166,0.9960728883743286,3176,-0.7628402356058359,0.2,0.05991491,-0.04569445550441742,,
479,849,796,407552,112.38,0.007606706203659996,0.00025,-0.015711769287008792,0.18994140625,3.655400276184082,0.9335740804672241,3180,-0.8177284710109234,0.2,0.042294625,-0.03672900050878525,,
479,850,797,408064,113.42,0.011506408016430214,0.00025,-0.011899580917088315,0.21826171875,3.6517999172210693,0.7952820062637329,3184,-0.785036651417613,0.2,0.057720147,-0.031170330941677094,,
479,851,798,408576,114.0,0.009416281885933131,0.00025,-0.015329030225984752,0.19677734375,3.651399850845337,0.8884393572807312,3188,-0.7950121238827705,0.2,0.030971859,-0.0454605333507061,,
479,852,799,409088,114.06,0.012015146785415709,0.00025,-0.011048485990613699,0.14892578125,3.648099899291992,0.8732059597969055,3192,-0.729137210175395,0.2,0.036113262,-0.045268550515174866,,
479,853,800,409600,114.22,0.006465679005486891,0.00025,-0.01525361678795889,0.146484375,3.6451001167297363,0.9403953552246094,3196,-0.7132576238363981,0.2,0.017537225,-0.04746238887310028,,
479,854,801,410112,114.28,0.003715088460012339,0.00025,-0.013679946132469922,0.14306640625,3.645399808883667,0.9759911894798279,3200,-0.722064008936286,0.2,0.021100728,-0.030076833441853523,,
480,855,802,410624,114.24,0.003338632686791243,0.00025,-0.01935831143055111,0.12841796875,3.6460001468658447,0.9844380021095276,3204,-0.6941300015896559,0.2,0.017464157,-0.045893676578998566,,
480,856,803,411136,114.66,0.003146702831145376,0.00025,-0.021637248632032424,0.1357421875,3.6464998722076416,0.9847400188446045,3208,-0.7322943918406963,0.2,0.030069228,-0.03439149260520935,,
480,857,804,411648,115.74,0.014501290337648243,0.00025,-0.020097226195503026,0.20703125,3.6479997634887695,0.9426472187042236,3212,-0.8268619440495968,0.2,0.04830496,-0.013479460962116718,,
480,858,805,412160,116.12,0.009358302944747265,0.00025,-0.020275340095395222,0.20263671875,3.650700330734253,0.9604579210281372,3216,-0.7843953315168619,0.2,0.07042296,-0.031167373061180115,,
480,859,806,412672,116.24,0.00928718184150057,0.00025,-0.018472644442226738,0.17626953125,3.648400068283081,0.9751753211021423,3220,-0.7350905817002058,0.2,0.03079352,-0.04828961193561554,,
480,860,807,413184,116.32,0.0027449991976027377,0.00025,-0.01657453872030601,0.1455078125,3.6488001346588135,0.9855945706367493,3224,-0.7180967554450035,0.2,0.0303814,-0.017032476142048836,,
480,861,808,413696,116.72,0.002629912916745525,0.00025,-0.01424997506546788,0.14599609375,3.6516001224517822,0.9880632758140564,3228,-0.6820229515433311,0.2,0.03347036,-0.02817690372467041,,
480,862,809,414208,117.1,0.0024839444595272653,0.00025,-0.019834971928503364,0.14111328125,3.6528000831604004,0.9851720929145813,3232,-0.6848281342536211,0.2,0.023754673,-0.038008302450180054,,
480,863,810,414720,117.02,0.0031264931385521777,0.00025,-0.014937361003831029,0.1650390625,3.6488001346588135,0.9836047291755676,3236,-0.7065128944814205,0.2,0.022333356,-0.061012331396341324,,
480,864,811,415232,117.12,0.002004760528507177,0.00025,-0.014611429942306131,0.13427734375,3.6515002250671387,0.9899763464927673,3240,-0.7219308037310839,0.2,0.019149873,-0.026666756719350815,,
480,865,812,415744,116.94,0.0013512843088392401,0.00025,-0.01012067185365595,0.171875,3.6484999656677246,0.9948331713676453,3244,-0.7095516752451658,0.2,0.02095627,-0.018572181463241577,,
480,866,813,416256,116.84,0.0012544429991976358,0.00025,-0.01346110479789786,0.177734375,3.6466994285583496,0.9967743158340454,3248,-0.7400752604007721,0.2,0.024909433,-0.015250146389007568,,
480,867,814,416768,116.8,0.00233526141528273,0.00025,-0.011475968203740194,0.1259765625,3.640899896621704,0.9915955662727356,3252,-0.7573688216507435,0.2,0.0294892,-0.02758832834661007,,
480,868,815,417280,116.98,0.0016697534738341346,0.00025,-0.016723543405532837,0.11669921875,3.6417999267578125,0.9933063983917236,3256,-0.7564788702875376,0.2,0.015588937,-0.05804148316383362,,
480,870,816,417792,116.86,0.001628712434467161,0.00025,-0.015360390360001475,0.1650390625,3.640199899673462,0.9951663017272949,3260,-0.7358849234879017,0.2,0.0368746,-0.02734624221920967,,
480,871,817,418304,116.96,0.0013481401092576561,0.00025,-0.014826815749984235,0.16796875,3.6426000595092773,0.9958743453025818,3264,-0.7060574200004339,0.2,0.021071833,-0.03038550727069378,,
480,872,818,418816,115.96,0.0018991388715221547,0.00025,-0.017527039191918448,0.1279296875,3.6436996459960938,0.9921362400054932,3268,-0.7291080988943577,0.2,0.037034623,-0.012265801429748535,,
480,873,819,419328,114.84,0.002735595735430252,0.00025,-0.01319557975511998,0.154296875,3.6510000228881836,0.9893642663955688,3272,-0.7349236942827702,0.2,0.027984908,-0.05407477915287018,,
480,874,820,419840,113.86,0.001459433040508884,0.00025,-0.010646365844877437,0.142578125,3.654400110244751,0.9935691952705383,3276,-0.7272735740989447,0.2,0.020018725,-0.03584882989525795,,
,,,420000,,0.0015049333687784383,0.00025,-0.01913962682010606,0.123046875,,0.9951418042182922,3280,-0.7303212285041809,0.2,0.01850465,-0.03313904628157616,3.6040000915527344,107.6
479,875,821,420352,113.56,,,,,3.6536998748779297,,,,,,,,
480,876,822,420864,113.84,0.0016636900254525244,0.00025,-0.015620190650224686,0.1572265625,3.6551003456115723,0.9936001896858215,3284,-0.7796846553683281,0.2,0.02429682,-0.009743869304656982,,
