time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/clip_range,train/approx_kl,train/loss,train/value_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
1093,368,6.088298797607422,787,402944,120.32,3144,-0.0224096862366423,0.9858784675598145,0.20556640625,-0.715285025537014,0.2,0.03904003,-0.04611417278647423,0.011090628773672506,0.00025,,
1094,368,6.113898277282715,788,403456,119.16,3148,-0.020153023186139762,0.9887481331825256,0.1865234375,-0.6885695736855268,0.2,0.038829982,-0.018167516216635704,0.00736339611466974,0.00025,,
1095,368,6.148499965667725,789,403968,118.68,3152,-0.018771405186271295,0.9857648015022278,0.18798828125,-0.7011656519025564,0.2,0.039854966,-0.01144339982420206,0.008462659970973618,0.00025,,
1097,368,6.222498893737793,790,404480,116.68,3156,-0.026784026355016977,0.9792399406433105,0.2548828125,-0.7554653212428093,0.2,0.055230305,-0.046086907386779785,0.012296604050789028,0.00025,,
1098,368,6.233798980712891,791,404992,116.12,3160,-0.018600075563881546,0.9758061766624451,0.19189453125,-0.781681502237916,0.2,0.040974885,-0.05565721541643143,0.02571044344222173,0.00025,,
1099,368,6.259998798370361,792,405504,116.36,3164,-0.020105126983253285,0.9831932187080383,0.14990234375,-0.7234626598656178,0.2,0.034150783,-0.05623100325465202,0.011207473638933152,0.00025,,
1100,368,6.261999130249023,793,406016,115.94,3168,-0.009493303252384067,0.971583366394043,0.193359375,-0.7442154008895159,0.2,0.03520281,-0.030228840187191963,0.01875669913715683,0.00025,,
1102,368,6.241098403930664,794,406528,116.92,3172,-0.015820101834833622,0.985358715057373,0.18798828125,-0.7340743597596884,0.2,0.037996452,-0.01981322094798088,0.008393442651140504,0.00025,,
1103,368,6.255297660827637,795,407040,117.22,3176,-0.0049640764482319355,0.916293203830719,0.3095703125,-0.8751352056860924,0.2,0.061757922,-0.0497109591960907,0.056938030291348696,0.00025,,
1104,368,6.242198467254639,796,407552,117.88,3180,-0.015135996683966368,0.9613304734230042,0.22705078125,-0.8339762464165688,0.2,0.054315686,-0.022352388128638268,0.02763387851882726,0.00025,,
1106,368,6.254398345947266,797,408064,118.9,3184,-0.028900304343551397,0.9651356935501099,0.25439453125,-0.8702286537736654,0.2,0.05014744,-0.05027983337640762,0.025760192278539762,0.00025,,
1107,368,6.278598785400391,798,408576,117.7,3188,-0.022179010120453313,0.9351480007171631,0.25341796875,-0.8152020256966352,0.2,0.055013046,-0.022199667990207672,0.033367642608936876,0.00025,,
1108,368,6.279499530792236,799,409088,117.64,3192,-0.01839406049111858,0.9833330512046814,0.19970703125,-0.7509903721511364,0.2,0.04274366,-0.0425945445895195,0.011803805362433195,0.00025,,
1110,368,6.258898735046387,800,409600,116.9,3196,-0.024276054638903588,0.9404655694961548,0.1884765625,-0.820016872137785,0.2,0.057887375,-0.015594709664583206,0.038062512467149645,0.00025,,
1111,368,6.2591986656188965,801,410112,115.68,3200,-0.015203433868009597,0.9742732644081116,0.20654296875,-0.8123397622257471,0.2,0.05220428,-0.05507352948188782,0.01860627142013982,0.00025,,
1112,368,6.277399063110352,802,410624,116.08,3204,-0.030348547326866537,0.9407791495323181,0.2353515625,-0.7893335204571486,0.2,0.05746454,-0.04456997290253639,0.031362350506242365,0.00025,,
1114,368,6.278598785400391,803,411136,116.28,3208,-0.022348346188664436,0.9890415072441101,0.19677734375,-0.7602807823568583,0.2,0.039830837,-0.04217246174812317,0.008892460209608544,0.00025,,
1115,368,6.242799282073975,804,411648,117.2,3212,-0.022229467052966356,0.9825671315193176,0.19287109375,-0.7681174669414759,0.2,0.04048851,-0.054720643907785416,0.013508237403584644,0.00025,,
1116,368,6.218599319458008,805,412160,118.98,3216,-0.01928654283983633,0.8193054795265198,0.3115234375,-0.9241160862147808,0.2,0.05586616,-0.04597584158182144,0.058421195833943784,0.00025,,
1118,369,6.171999454498291,806,412672,120.2,3220,0.0025347230839543045,0.8989049792289734,0.32470703125,-0.9217070061713457,0.2,0.0680026,-0.02278374321758747,0.04891925514675677,0.00025,,
1119,369,6.142098903656006,807,413184,120.64,3224,-0.018445825669914484,0.6985647678375244,0.3232421875,-0.9740970749408007,0.2,0.051409826,-0.03359569236636162,0.04630690242629498,0.00025,,
1121,369,6.114699840545654,808,413696,124.02,3228,-0.01313765998929739,0.7758792638778687,0.3330078125,-0.9581023510545492,0.2,0.054819435,-0.0498802624642849,0.04472661286126822,0.00025,,
1122,369,6.096899509429932,809,414208,124.98,3232,-0.026109828642802313,0.6722172498703003,0.404296875,-0.9608507230877876,0.2,0.064851835,-0.048992544412612915,0.04270122165326029,0.00025,,
1123,369,6.032599925994873,810,414720,127.8,3236,-0.009795727295568213,0.79249107837677,0.322265625,-0.9646560586988926,0.2,0.04730404,-0.06879767775535583,0.041554464667569846,0.00025,,
1124,369,5.994199275970459,811,415232,128.72,3240,-0.011240930034546182,0.5891575813293457,0.28271484375,-0.9833589717745781,0.2,0.04681804,0.040505193173885345,0.18920564092695713,0.00025,,
1126,369,5.966897964477539,812,415744,130.14,3244,-0.02731487579876557,0.7922040224075317,0.36083984375,-0.9454163275659084,0.2,0.069360524,-0.062057316303253174,0.048906634910963476,0.00025,,
1127,369,5.970399379730225,813,416256,130.38,3248,-0.013150479644536972,0.8401573300361633,0.2763671875,-0.8802630789577961,0.2,0.05311361,-0.044286131858825684,0.052216094627510756,0.00025,,
1128,369,5.939699649810791,814,416768,130.62,3252,-0.007097243767930195,0.9240719079971313,0.19384765625,-0.807818541303277,0.2,0.047844946,-0.051135607063770294,0.04679349175421521,0.00025,,
1130,369,5.939298629760742,815,417280,130.62,3256,-0.023961519938893616,0.9254793524742126,0.2197265625,-0.8268922884017229,0.2,0.038089827,-0.05282280594110489,0.030694000161020085,0.00025,,
1131,369,5.928398609161377,816,417792,129.74,3260,-0.026842703722650185,0.9751010537147522,0.19482421875,-0.8169534634798765,0.2,0.037444454,-0.06030000001192093,0.015249635092914104,0.00025,,
1132,369,5.922198295593262,817,418304,131.18,3264,-0.017108418862335384,0.9658621549606323,0.19580078125,-0.81713399104774,0.2,0.04082179,-0.005475818179547787,0.020704863942228258,0.00025,,
1134,369,5.910099506378174,818,418816,131.32,3268,-0.014521135191898793,0.9838830828666687,0.25,-0.8743390403687954,0.2,0.061521173,0.044574812054634094,0.0198863688565325,0.00025,,
1135,369,5.8867998123168945,819,419328,131.02,3272,-0.019491541548632085,0.9843806028366089,0.2568359375,-0.849042559042573,0.2,0.036350153,-0.06629911065101624,0.014154347518342547,0.00025,,
